Черный ;blk
Красный;bordo
Серый;grey
Кремовый;cream
Коричневый;brown
Бежевый;beige
Голубой;blue
Красный;red
Зеленый;green
Оранжевый;orange
Белый ;white
Розовый;pink
Желтый;yellow
Кирпичный;brick
Коралоовый;corall
Горчичный;mustard
Персиковый;peach
Мятный;mint
Синий;navy
Темно-коричневый;dark-brown
Темно-серый;dark-gray
Черно-белый;blk&white
Светло-серый;light-pink
Светло-коричневый;light-brown
Молочный;milk
Фиолетовый;purple
Оливковый;olive
Хаки;khaki
Песочный;beige
Сиреневый;purple
Фуксия;pink
Лиловый;purple
Принт;print
